dimension = 20; 
values = [
[5,42,48,2,1,3,39,30,46,40,17,10,14,40,50,8,17,2,14,9],
[44,11,46,12,47,47,16,32,26,10,46,17,50,48,47,3,47,45,18,6],
[35,30,13,9,50,16,27,36,31,25,19,30,17,37,7,27,3,29,9,34],
[48,17,32,24,5,8,28,5,8,22,12,12,29,4,37,30,20,15,45,9],
[21,32,45,50,26,36,35,11,16,22,40,28,15,19,15,33,7,23,37,3],
[1,22,32,23,34,4,35,3,40,37,47,34,17,8,39,49,17,21,5,7],
[14,40,2,23,40,37,18,35,8,2,45,34,45,11,45,24,16,15,41,32],
[45,27,32,47,46,12,39,34,26,36,23,36,43,1,7,17,14,37,4,47],
[31,28,5,7,15,8,6,13,37,16,27,17,45,18,14,6,50,47,2,39],
[44,33,22,27,29,13,29,33,41,16,37,2,44,40,45,21,32,8,27,45],
[24,38,16,13,47,31,27,35,45,10,29,11,14,37,4,31,45,10,25,35],
[3,49,36,41,10,1,25,45,26,43,17,15,3,19,27,35,38,8,36,24],
[9,21,34,5,44,11,5,13,19,43,18,43,2,48,13,40,20,27,48,31],
[32,20,11,3,32,4,1,12,35,2,21,23,38,23,42,21,21,41,14,11],
[27,35,4,3,43,26,27,5,24,30,2,10,5,38,40,36,32,30,11,22],
[6,3,12,35,38,50,21,16,23,38,47,50,2,37,37,21,45,2,17,25],
[39,7,46,6,34,47,4,17,38,41,21,23,41,29,47,39,44,8,24,34],
[9,8,28,34,44,49,16,16,33,3,8,22,32,32,19,31,19,22,21,4],
[48,29,6,29,3,42,18,36,47,44,37,13,6,32,23,15,6,16,50,44],
[24,8,29,22,11,26,16,29,12,13,2,38,34,15,10,31,14,49,12,19]
];
