dimension = 80; 
values = [
[5,42,48,2,1,3,39,30,46,40,17,10,14,40,50,8,17,2,14,9,44,11,46,12,47,47,16,32,26,10,46,17,50,48,47,3,47,45,18,6,35,30,13,9,50,16,27,36,31,25,19,30,17,37,7,27,3,29,9,34,48,17,32,24,5,8,28,5,8,22,12,12,29,4,37,30,20,15,45,9],
[21,32,45,50,26,36,35,11,16,22,40,28,15,19,15,33,7,23,37,3,1,22,32,23,34,4,35,3,40,37,47,34,17,8,39,49,17,21,5,7,14,40,2,23,40,37,18,35,8,2,45,34,45,11,45,24,16,15,41,32,45,27,32,47,46,12,39,34,26,36,23,36,43,1,7,17,14,37,4,47],
[31,28,5,7,15,8,6,13,37,16,27,17,45,18,14,6,50,47,2,39,44,33,22,27,29,13,29,33,41,16,37,2,44,40,45,21,32,8,27,45,24,38,16,13,47,31,27,35,45,10,29,11,14,37,4,31,45,10,25,35,3,49,36,41,10,1,25,45,26,43,17,15,3,19,27,35,38,8,36,24],
[9,21,34,5,44,11,5,13,19,43,18,43,2,48,13,40,20,27,48,31,32,20,11,3,32,4,1,12,35,2,21,23,38,23,42,21,21,41,14,11,27,35,4,3,43,26,27,5,24,30,2,10,5,38,40,36,32,30,11,22,6,3,12,35,38,50,21,16,23,38,47,50,2,37,37,21,45,2,17,25],
[39,7,46,6,34,47,4,17,38,41,21,23,41,29,47,39,44,8,24,34,9,8,28,34,44,49,16,16,33,3,8,22,32,32,19,31,19,22,21,4,48,29,6,29,3,42,18,36,47,44,37,13,6,32,23,15,6,16,50,44,24,8,29,22,11,26,16,29,12,13,2,38,34,15,10,31,14,49,12,19],
[17,31,1,28,39,9,35,12,47,2,20,19,13,13,18,21,50,30,44,37,35,25,34,13,46,30,48,41,33,33,49,18,27,4,43,24,35,20,43,38,43,23,18,11,17,18,4,14,2,19,49,33,5,25,12,19,8,27,6,22,4,38,21,42,1,6,20,33,4,3,17,21,3,21,5,46,28,7,11,49],
[16,48,43,48,23,36,31,9,49,36,48,26,33,9,17,48,21,25,17,31,3,38,9,47,22,19,49,11,5,16,23,18,11,41,32,27,17,26,16,43,48,11,33,42,13,15,14,10,1,36,47,34,38,46,5,23,15,46,33,12,5,26,13,45,47,32,37,15,21,28,41,47,48,28,9,47,10,44,45,12],
[35,20,27,9,43,15,47,12,30,34,5,14,46,47,1,39,38,32,32,43,13,30,50,18,6,36,42,47,46,5,33,40,26,37,48,46,48,44,37,6,37,17,34,21,4,40,18,14,17,31,35,14,11,33,18,47,48,28,31,48,18,1,30,37,49,30,47,8,30,33,1,23,50,11,27,25,41,24,39,44],
[18,46,20,25,30,10,13,15,27,6,19,30,4,46,10,39,13,30,26,7,12,1,22,25,24,2,20,40,18,4,10,18,26,19,24,9,48,7,29,29,10,17,6,43,10,43,49,11,39,11,7,37,8,24,15,24,36,37,41,8,28,2,17,10,42,1,39,30,35,41,11,44,17,41,15,8,38,17,3,8],
[34,36,41,4,42,21,3,8,46,26,35,11,19,45,5,45,38,3,30,43,9,26,1,22,46,35,40,30,41,48,23,7,12,24,19,38,35,41,20,1,25,2,22,43,21,40,13,42,46,11,23,48,43,32,10,17,31,39,25,33,21,1,30,26,36,31,17,47,11,12,16,23,49,29,7,27,12,24,40,34],
[18,37,37,1,46,41,17,43,20,36,19,21,10,14,33,49,45,4,13,29,18,50,27,12,46,18,21,5,23,4,14,38,31,30,1,25,43,3,22,8,44,19,4,24,26,18,25,13,7,20,40,42,50,19,23,25,30,21,17,14,34,48,1,40,9,29,11,48,9,11,12,15,23,21,22,38,6,8,44,24],
[36,32,43,40,29,12,32,42,17,4,16,6,31,44,9,50,14,5,28,23,20,1,18,38,45,18,7,48,22,39,50,33,12,30,16,37,20,20,31,19,9,29,41,13,2,22,18,41,25,22,5,48,31,49,2,38,26,7,40,35,12,27,9,21,12,32,44,33,30,20,41,23,29,14,22,10,34,37,46,10],
[24,2,12,3,49,17,10,26,30,16,28,17,37,44,11,39,14,16,20,9,47,3,45,37,7,4,16,24,20,16,31,3,25,1,36,20,27,25,21,33,48,28,45,45,32,41,36,20,35,47,25,25,38,50,21,9,25,2,48,20,16,19,48,50,50,15,2,11,24,18,10,46,15,25,21,45,22,28,32,26],
[36,47,35,50,42,16,10,45,2,49,45,47,30,47,26,33,6,44,39,32,21,2,1,20,47,48,4,31,12,32,40,46,50,45,43,46,48,25,1,8,23,9,30,8,45,29,14,4,12,4,44,33,27,42,42,49,12,6,37,3,12,2,38,1,13,9,23,23,20,43,41,50,48,10,25,43,17,24,6,16],
[45,44,7,40,2,43,15,34,19,24,46,48,20,5,33,32,41,16,34,44,17,20,1,45,40,40,28,44,32,8,33,25,21,2,30,43,13,10,35,50,29,34,37,39,28,36,17,18,34,26,43,43,42,44,20,43,4,42,13,26,43,26,35,43,39,12,44,15,13,4,18,16,49,28,20,30,32,3,48,47],
[47,43,21,18,16,3,27,13,33,46,32,3,44,40,30,24,15,40,31,48,13,37,22,14,28,48,15,8,46,33,18,45,6,18,4,50,42,49,2,34,26,11,13,47,12,5,36,21,3,4,15,11,25,39,20,1,38,17,48,37,14,23,34,26,28,3,21,10,45,35,45,36,33,23,15,10,48,19,23,28],
[23,43,3,12,42,13,38,25,37,36,40,32,34,20,7,35,4,16,8,25,4,32,21,23,13,50,9,25,43,46,50,40,13,4,42,34,4,9,8,49,4,18,19,1,3,44,37,33,3,6,29,37,38,34,17,5,23,22,49,31,3,19,9,4,44,1,2,46,3,33,36,19,17,43,19,19,19,23,35,44],
[7,8,28,13,46,19,18,19,13,41,34,34,7,30,23,39,26,38,34,32,43,22,39,17,8,7,15,45,37,18,35,4,14,7,12,38,12,39,26,17,41,14,1,8,40,27,25,5,47,14,31,49,49,7,9,46,44,48,19,7,25,15,48,42,6,16,22,36,29,2,28,1,15,26,39,31,8,16,47,23],
[2,32,47,10,30,32,29,43,40,1,38,34,23,31,50,22,46,13,40,48,20,1,27,19,35,5,50,33,31,33,21,33,7,17,23,9,26,9,3,50,27,20,41,26,22,28,11,40,35,50,44,22,6,9,32,41,1,7,35,8,25,47,4,8,31,48,48,40,27,10,43,28,2,46,39,41,21,30,14,28],
[47,12,18,42,37,48,44,24,4,1,15,36,27,29,4,49,31,12,1,31,47,36,23,8,49,24,6,45,27,44,19,24,10,7,10,18,32,49,16,10,48,45,13,23,38,16,15,31,32,45,1,26,32,12,6,39,27,21,36,16,18,16,27,44,6,9,8,31,18,5,7,35,47,22,34,22,42,40,14,26],
[39,24,40,23,18,15,13,29,47,31,37,19,14,3,36,43,41,21,35,5,48,24,48,44,6,7,6,17,49,33,30,12,2,4,9,29,16,37,33,48,18,50,29,47,2,5,47,39,27,3,11,33,11,42,13,4,4,10,31,26,3,29,36,13,42,23,48,35,19,11,45,30,25,9,19,24,36,20,25,11],
[20,12,30,28,35,18,27,30,1,16,6,44,28,30,24,18,15,24,22,34,32,40,27,36,29,2,27,40,30,42,1,23,50,23,40,14,33,42,45,37,44,9,11,39,43,23,34,23,28,44,20,4,34,2,5,50,44,40,26,17,11,44,43,14,42,9,28,3,19,14,49,40,17,36,14,35,34,13,15,27],
[49,12,35,18,6,15,35,9,25,23,28,50,43,32,42,36,1,27,38,47,30,9,5,12,18,25,36,50,36,25,25,41,39,34,39,41,15,35,33,40,15,49,36,40,49,49,43,23,49,31,18,27,32,10,6,17,23,44,40,29,3,20,50,45,12,47,5,38,20,33,28,14,11,27,26,20,20,1,4,26],
[42,7,19,13,22,36,40,29,4,35,36,46,11,14,33,19,30,4,22,18,45,9,8,49,17,2,1,26,12,39,22,30,48,24,32,5,36,13,34,45,16,34,25,21,48,24,26,42,8,44,17,3,15,43,12,36,14,40,13,15,2,47,50,49,12,30,33,47,26,9,18,10,6,35,28,22,21,46,18,41],
[37,26,17,32,47,36,3,2,13,24,39,19,9,31,10,20,31,5,44,30,24,27,40,42,41,12,2,10,14,7,49,44,43,32,24,40,11,28,31,17,36,37,11,6,39,49,14,15,27,5,14,13,5,41,42,30,22,23,38,50,39,17,26,15,34,36,3,5,16,2,2,12,7,10,36,20,41,24,44,36],
[28,12,9,50,30,48,25,37,4,33,34,23,7,31,14,28,33,20,28,20,10,42,34,42,5,14,18,22,12,38,23,8,9,5,43,4,8,41,38,18,16,43,1,12,43,44,17,24,30,50,5,50,11,5,32,2,6,22,39,26,8,48,1,47,1,36,43,35,25,44,47,43,44,19,23,19,29,8,19,25],
[22,42,30,35,39,6,19,46,11,13,20,45,27,31,2,21,16,14,16,35,6,44,40,17,19,7,44,4,19,36,9,21,9,20,35,5,46,4,29,35,12,5,15,16,29,48,32,35,49,34,4,8,34,25,29,3,14,20,18,48,34,40,48,11,38,5,12,33,30,5,35,26,36,30,43,43,28,50,9,29],
[33,47,38,35,8,44,43,4,22,39,36,31,26,33,47,18,12,29,37,29,17,26,29,42,42,30,44,15,14,5,21,28,3,21,22,49,21,45,22,29,35,43,19,16,22,14,47,16,12,7,44,28,3,8,48,43,20,3,46,7,42,30,35,45,31,40,31,24,10,1,15,14,9,8,45,30,4,48,43,17],
[2,23,9,21,16,15,12,31,50,17,43,25,8,6,20,32,47,1,4,29,44,34,33,21,38,45,15,37,18,30,4,18,14,25,14,6,43,47,45,21,49,5,39,48,26,27,3,5,40,28,47,20,30,41,19,22,43,23,26,14,5,5,30,1,50,14,41,48,40,46,47,45,26,18,38,15,12,41,26,40],
