dimension = 30; 
values = [
[5,42,48,2,1,3,39,30,46,40,17,10,14,40,50,8,17,2,14,9,44,11,46,12,47,47,16,32,26,10],
[46,17,50,48,47,3,47,45,18,6,35,30,13,9,50,16,27,36,31,25,19,30,17,37,7,27,3,29,9,34],
[48,17,32,24,5,8,28,5,8,22,12,12,29,4,37,30,20,15,45,9,21,32,45,50,26,36,35,11,16,22],
[40,28,15,19,15,33,7,23,37,3,1,22,32,23,34,4,35,3,40,37,47,34,17,8,39,49,17,21,5,7],
[14,40,2,23,40,37,18,35,8,2,45,34,45,11,45,24,16,15,41,32,45,27,32,47,46,12,39,34,26,36],
[23,36,43,1,7,17,14,37,4,47,31,28,5,7,15,8,6,13,37,16,27,17,45,18,14,6,50,47,2,39],
[44,33,22,27,29,13,29,33,41,16,37,2,44,40,45,21,32,8,27,45,24,38,16,13,47,31,27,35,45,10],
[29,11,14,37,4,31,45,10,25,35,3,49,36,41,10,1,25,45,26,43,17,15,3,19,27,35,38,8,36,24],
[9,21,34,5,44,11,5,13,19,43,18,43,2,48,13,40,20,27,48,31,32,20,11,3,32,4,1,12,35,2],
[21,23,38,23,42,21,21,41,14,11,27,35,4,3,43,26,27,5,24,30,2,10,5,38,40,36,32,30,11,22],
[6,3,12,35,38,50,21,16,23,38,47,50,2,37,37,21,45,2,17,25,39,7,46,6,34,47,4,17,38,41],
[21,23,41,29,47,39,44,8,24,34,9,8,28,34,44,49,16,16,33,3,8,22,32,32,19,31,19,22,21,4],
[48,29,6,29,3,42,18,36,47,44,37,13,6,32,23,15,6,16,50,44,24,8,29,22,11,26,16,29,12,13],
[2,38,34,15,10,31,14,49,12,19,17,31,1,28,39,9,35,12,47,2,20,19,13,13,18,21,50,30,44,37],
[35,25,34,13,46,30,48,41,33,33,49,18,27,4,43,24,35,20,43,38,43,23,18,11,17,18,4,14,2,19],
[49,33,5,25,12,19,8,27,6,22,4,38,21,42,1,6,20,33,4,3,17,21,3,21,5,46,28,7,11,49],
[16,48,43,48,23,36,31,9,49,36,48,26,33,9,17,48,21,25,17,31,3,38,9,47,22,19,49,11,5,16],
[23,18,11,41,32,27,17,26,16,43,48,11,33,42,13,15,14,10,1,36,47,34,38,46,5,23,15,46,33,12],
[5,26,13,45,47,32,37,15,21,28,41,47,48,28,9,47,10,44,45,12,35,20,27,9,43,15,47,12,30,34],
[5,14,46,47,1,39,38,32,32,43,13,30,50,18,6,36,42,47,46,5,33,40,26,37,48,46,48,44,37,6],
[37,17,34,21,4,40,18,14,17,31,35,14,11,33,18,47,48,28,31,48,18,1,30,37,49,30,47,8,30,33],
[1,23,50,11,27,25,41,24,39,44,18,46,20,25,30,10,13,15,27,6,19,30,4,46,10,39,13,30,26,7],
[12,1,22,25,24,2,20,40,18,4,10,18,26,19,24,9,48,7,29,29,10,17,6,43,10,43,49,11,39,11],
[7,37,8,24,15,24,36,37,41,8,28,2,17,10,42,1,39,30,35,41,11,44,17,41,15,8,38,17,3,8],
[34,36,41,4,42,21,3,8,46,26,35,11,19,45,5,45,38,3,30,43,9,26,1,22,46,35,40,30,41,48],
[23,7,12,24,19,38,35,41,20,1,25,2,22,43,21,40,13,42,46,11,23,48,43,32,10,17,31,39,25,33],
[21,1,30,26,36,31,17,47,11,12,16,23,49,29,7,27,12,24,40,34,18,37,37,1,46,41,17,43,20,36],
[19,21,10,14,33,49,45,4,13,29,18,50,27,12,46,18,21,5,23,4,14,38,31,30,1,25,43,3,22,8],
[44,19,4,24,26,18,25,13,7,20,40,42,50,19,23,25,30,21,17,14,34,48,1,40,9,29,11,48,9,11],
[12,15,23,21,22,38,6,8,44,24,36,32,43,40,29,12,32,42,17,4,16,6,31,44,9,50,14,5,28,23]
];
